date,code,close,volume,pe,industry
2018-01-02,000001,10.4772805,208159255,10.21294,主板-深
2018-01-03,000001,10.19431745,296249840,9.937116,主板-深
2018-01-04,000001,10.13313625,185450948,9.877478,主板-深
2018-01-05,000001,10.1713745,121031272,9.914751,主板-深
2018-01-08,000001,9.9113544,215862081,9.661292,主板-深
2018-01-09,000001,10.0031262,134434509,9.750748,主板-深
2018-01-10,000001,10.30138455,240327736,10.041481,主板-深
2018-01-11,000001,10.247851,144387781,9.989298,主板-深
2018-01-12,000001,10.36256575,135399140,10.101119,主板-深
2018-01-15,000001,10.859663,312239456,10.585675,主板-深
2018-01-16,000001,10.859663,244454900,10.585675,主板-深
2018-01-17,000001,10.88260595,265629401,10.608039,主板-深
2018-01-18,000001,11.2573408,214802680,10.973319,主板-深
2018-01-19,000001,11.318522,257114669,11.032957,主板-深
2018-01-22,000001,11.0432066,207386714,10.764587,主板-深
2018-01-23,000001,11.20380725,238879170,10.921136,主板-深
2018-01-24,000001,11.1961596,259129212,10.913681,主板-深
2018-01-25,000001,10.859663,236998459,10.585675,主板-深
2018-01-26,000001,10.74494825,203298865,10.473854,主板-深
2018-01-29,000001,10.5078711,209054668,10.242758,主板-深
2018-01-30,000001,10.43904225,109473986,10.175666,主板-深
2018-01-31,000001,10.74494825,174772914,10.473854,主板-深
2018-02-01,000001,10.72965295,200561475,10.458945,主板-深
2018-02-02,000001,10.74494825,117651271,10.473854,主板-深
2018-02-05,000001,11.12733075,233199790,10.846589,主板-深
2018-02-06,000001,10.70671,258287204,10.436581,主板-深
2018-02-07,000001,9.8807638,334571696,9.631473,主板-深
2018-02-08,000001,9.5901531,213781506,9.348194,主板-深
2018-02-09,000001,8.94010285,282494976,8.714545,主板-深
2018-02-12,000001,8.9630458,122878244,8.736909,主板-深
2018-02-13,000001,9.1312941,129817869,8.900912,主板-深
2018-02-14,000001,9.17718,86419024,8.94564,主板-深
2018-02-22,000001,9.5289719,126840607,9.288557,主板-深
2018-02-23,000001,9.64368665,101366320,9.400377,主板-深
2018-02-26,000001,9.65898195,104575874,9.415287,主板-深
2018-02-27,000001,9.3913142,128586906,9.154372,主板-深
2018-02-28,000001,9.21541825,121414559,8.982914,主板-深
2018-03-01,000001,9.2077706,88695718,8.975459,主板-深
2018-03-02,000001,9.13894175,66312416,8.908367,主板-深
2018-03-05,000001,9.0701129,75418313,8.841275,主板-深
2018-03-06,000001,9.2536565,115016249,9.020187,主板-深
2018-03-07,000001,9.21541825,142757032,8.982914,主板-深
2018-03-08,000001,9.26130415,68975503,9.027642,主板-深
2018-03-09,000001,9.24600885,94387697,9.012733,主板-深
2018-03-12,000001,9.20012295,126870132,8.968005,主板-深
2018-03-13,000001,9.1924753,108226732,8.96055,主板-深
2018-03-14,000001,9.1159988,63559413,8.886003,主板-深
2018-03-15,000001,8.95539815,115569473,8.670728,主板-深
2018-03-16,000001,8.9018646,96298338,8.618896,主板-深
2018-03-19,000001,9.04716995,80853872,8.759583,主板-深
2018-03-20,000001,9.0395223,77615002,8.752178,主板-深
2018-03-21,000001,9.1007035,144510951,8.811415,主板-深
2018-03-22,000001,8.9171599,98427842,8.633705,主板-深
2018-03-23,000001,8.6724351,182569075,8.39676,主板-深
2018-03-26,000001,8.35888145,138359851,8.093173,主板-深
2018-03-27,000001,8.3665291,110393361,8.100578,主板-深
2018-03-28,000001,8.32829085,109902339,8.063555,主板-深
2018-03-29,000001,8.45065325,133060238,8.182028,主板-深
2018-03-30,000001,8.3359385,75217368,8.07096,主板-深
2018-04-02,000001,8.19063315,110931643,7.930273,主板-深
2018-04-03,000001,8.0759184,89074565,7.819205,主板-深
2018-04-04,000001,8.31299555,160248873,8.048746,主板-深
2018-04-09,000001,8.4277103,107479576,8.159814,主板-深
