date,factor,IC,year
2018-01-30,factor_pe,-0.49967458801050857,2018
2018-01-30,factor_momentum_20,0.3520480057320276,2018
2018-01-30,factor_vol_60,-0.05402137568664914,2018
2018-01-31,factor_pe,-0.3821471220444231,2018
2018-01-31,factor_momentum_20,0.11840518270838304,2018
2018-01-31,factor_vol_60,-0.24872522092190102,2018
2018-02-01,factor_pe,-0.05824277525674705,2018
2018-02-01,factor_momentum_20,-0.2785347504179603,2018
2018-02-01,factor_vol_60,-0.29868342488655353,2018
2018-02-02,factor_pe,-0.10080009553379504,2018
2018-02-02,factor_momentum_20,-0.30584248865536173,2018
2018-02-02,factor_vol_60,-0.3869417243850011,2018
2018-02-05,factor_pe,0.2178648196799617,2018
2018-02-05,factor_momentum_20,-0.5311201337473129,2018
2018-02-05,factor_vol_60,-0.14195724862670164,2018
2018-02-06,factor_pe,0.40456472414616657,2018
2018-02-06,factor_momentum_20,-0.6364282302364459,2018
2018-02-06,factor_vol_60,0.1278570575591115,2018
2018-02-07,factor_pe,0.35626641987102925,2018
2018-02-07,factor_momentum_20,-0.5533347265345114,2018
2018-02-07,factor_vol_60,0.29453666109386184,2018
2018-02-08,factor_pe,0.2613058275614998,2018
2018-02-08,factor_momentum_20,-0.2116790064485311,2018
2018-02-08,factor_vol_60,0.47503283974205857,2018
2018-02-09,factor_pe,0.2522719130642464,2018
2018-02-09,factor_momentum_20,-0.2691485550513493,2018
2018-02-09,factor_vol_60,0.6736058036780509,2018
2018-02-12,factor_pe,0.13611177454024356,2018
2018-02-12,factor_momentum_20,-0.08955099116312393,2018
2018-02-12,factor_vol_60,0.6627059947456411,2018
2018-02-13,factor_pe,0.37143240983998077,2018
2018-02-13,factor_momentum_20,-0.2011075949367088,2018
2018-02-13,factor_vol_60,0.39112132791975146,2018
2018-02-14,factor_pe,0.3587294005254357,2018
2018-02-14,factor_momentum_20,-0.253042154287079,2018
2018-02-14,factor_vol_60,0.1334010031048483,2018
2018-02-22,factor_pe,0.3668318605206591,2018
2018-02-22,factor_momentum_20,-0.2516031764986863,2018
2018-02-22,factor_vol_60,0.00041198949128254105,2018
2018-02-23,factor_pe,0.3875417960353474,2018
2018-02-23,factor_momentum_20,-0.19673692381179836,2018
2018-02-23,factor_vol_60,-0.04616969190351085,2018
2018-02-26,factor_pe,0.32267136374492467,2018
2018-02-26,factor_momentum_20,0.00904287079054215,2018
2018-02-26,factor_vol_60,-0.1735669930737998,2018
2018-02-27,factor_pe,0.3689127059947455,2018
2018-02-27,factor_momentum_20,-0.010472892285646044,2018
2018-02-27,factor_vol_60,0.057633747313111994,2018
2018-02-28,factor_pe,0.2841473608789108,2018
2018-02-28,factor_momentum_20,-0.13887031287317883,2018
2018-02-28,factor_vol_60,0.021393599235729633,2018
2018-03-01,factor_pe,0.13020957726295673,2018
2018-03-01,factor_momentum_20,-0.15163303080964885,2018
2018-03-01,factor_vol_60,-0.15456472414616665,2018
2018-03-02,factor_pe,0.26324038691186996,2018
2018-03-02,factor_momentum_20,-0.08225161213279195,2018
2018-03-02,factor_vol_60,0.07691067590160017,2018
2018-03-05,factor_pe,0.30277943635060894,2018
2018-03-05,factor_momentum_20,-0.04340816813947933,2018
2018-03-05,factor_vol_60,0.2571829472175781,2018
2018-03-06,factor_pe,0.1980266300453785,2018
2018-03-06,factor_momentum_20,0.15267793169333646,2018
2018-03-06,factor_vol_60,0.05071948889419631,2018
2018-03-07,factor_pe,0.27398628852689544,2018
2018-03-07,factor_momentum_20,-0.026889722254775563,2018
2018-03-07,factor_vol_60,0.16898511660611734,2018
2018-03-08,factor_pe,0.20448845658033507,2018
2018-03-08,factor_momentum_20,0.10373842728231567,2018
2018-03-08,factor_vol_60,0.19314719324973623,2018
2018-03-09,factor_pe,0.00997304582210242,2018
2018-03-09,factor_momentum_20,-0.022345599437478016,2018
2018-03-09,factor_vol_60,-0.13044650181647713,2018
2018-03-12,factor_pe,-0.036704558771827,2018
2018-03-12,factor_momentum_20,0.07031817649126916,2018
2018-03-12,factor_vol_60,-0.2747890542599319,2018
2018-03-13,factor_pe,0.04469705847884681,2018
2018-03-13,factor_momentum_20,0.04593343489980075,2018
2018-03-13,factor_vol_60,-0.2447937419430445,2018
2018-03-14,factor_pe,0.06669987108871436,2018
2018-03-14,factor_momentum_20,0.07109164420485171,2018
2018-03-14,factor_vol_60,-0.21665885386147885,2018
2018-03-15,factor_pe,0.0010986757295206838,2018
2018-03-15,factor_momentum_20,-0.05080276573303642,2018
2018-03-15,factor_vol_60,-0.2372905191609046,2018
2018-03-16,factor_pe,-0.05613793507558886,2018
2018-03-16,factor_momentum_20,-0.08782960271885616,2018
2018-03-16,factor_vol_60,-0.22972577053791152,2018
2018-03-19,factor_pe,0.1800744169694128,2018
2018-03-19,factor_momentum_20,0.18693308332356723,2018
2018-03-19,factor_vol_60,-0.08266729169108164,2018
