factor,year,mean,std
factor_momentum_20,2018,-0.01591982598178909,0.22236470611161316
factor_momentum_20,2019,-0.027355588124734823,0.1750503016536134
factor_momentum_20,2020,-0.02694842239501508,0.18350047135319972
factor_momentum_20,2021,-0.016653674977152925,0.19381383578668365
factor_momentum_20,2022,-0.015728574684529494,0.22749714641245636
factor_pe,2018,-0.011603779445738892,0.2087584048455204
factor_pe,2019,-0.007904349765782016,0.2197986340106754
factor_pe,2020,0.06049171487764508,0.24503011643563252
factor_pe,2021,-0.016350020746627832,0.23237489087179197
factor_pe,2022,-0.05609118028239847,0.2503579224832251
factor_vol_60,2018,-0.03982759356716064,0.24667125542398405
factor_vol_60,2019,0.016856232546087407,0.2559724285475109
factor_vol_60,2020,0.0247804138338492,0.2650738866704342
factor_vol_60,2021,-0.013116335675634057,0.25033121647990314
factor_vol_60,2022,-0.04194521267834028,0.22154425441928904
